Year,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout
1952,Barpeta,4,GEN,Assam,Beliram Das,Indian National Congress,"3,32,791","1,76,868",0.532
1952,Barrackpore,297,GEN,West Bengal,Das Ramananda,Indian National Congress,"3,65,287","1,59,207",0.436
1952,Basirhat,296,GEN,West Bengal,Chakravartty Renu,Communist Party Of India,"7,62,830","6,26,043",0.41
1952,Basirhat,296,GEN,West Bengal,Roy Patiram,Indian National Congress,"7,62,830","6,26,043",0.41
1952,Bastar,98,ST,Uttar Pradesh and Chhattisgarh,Muchaki Kosa,Independent,"3,84,277","2,13,845",0.557
1952,Basti District NORTH,264,GEN,Uttar Pradesh and Uttarakhand,Udai Shanker Dubey,Indian National Congress,"3,74,224","1,72,752",0.462
1952,Basti Distt Central EAST CUM GORAKHPUR DISTT WEST,265,GEN,Uttar Pradesh and Uttarakhand,Ram Shanker Lal,Indian National Congress,"7,30,319","4,98,251",0.341
1952,Basti Distt Central EAST CUM GORAKHPUR DISTT WEST,265,GEN,Uttar Pradesh and Uttarakhand,Sohan Lal Dhusiya,Indian National Congress,"7,30,319","4,98,251",0.341
1952,Belgaum North,80,GEN,Bombay,Datar Balwant Nagesh,Indian National Congress,"3,57,228","2,17,619",0.609
1952,Belgaum South,81,GEN,Bombay,Patil Shankargouda Virangouda,Indian National Congress,"3,85,241","2,37,245",0.616
1952,Bellary,133,GEN,Madras,T. Subrahmanyam,Indian National Congress,"3,58,727","2,19,591",0.612
1952,Berhampore,282,GEN,West Bengal,Tridib Chaudhuri,Revolutionary Socialist Party,"3,71,621","1,78,873",0.481
1952,Betul,106,GEN,Uttar Pradesh and Chhattisgarh,Bhikulal Lakhmichand Chandak,Indian National Congress,"3,87,336","2,16,283",0.558
1952,Bhagalpur Central,41,GEN,Uttar PradeBihar,Banarshi Pd. Jhunjhunwala,Indian National Congress,"3,06,142","1,45,939",0.477
1952,Bhagalpur Cum Purnea,40,GEN,Uttar PradeBihar,Anup Lal Mehata,Indian National Congress,"6,40,994","5,12,765",0.4
1952,Bhagalpur Cum Purnea,40,GEN,Uttar PradeBihar,Kirai Mushahar,Socialist Party,"6,40,994","5,12,765",0.4
1952,Bhagalpur South,42,GEN,Uttar PradeBihar,Susama Sen,Indian National Congress,"3,01,167","1,44,686",0.48
1952,Bhandara,109,GEN,Uttar Pradesh and Chhattisgarh,Chaturbhuj Vithaldas Jasani,Indian National Congress,"7,70,354","8,08,807",0.525
1952,Bhandara,109,GEN,Uttar Pradesh and Chhattisgarh,Tularam Chandrabhan Sakhare,Indian National Congress,"7,70,354","8,08,807",0.525
1952,Bharatpur Sawaimadhopur,347,GEN,Rajasthan,Girraj Sharan Singh,Independent,"7,48,347","6,87,306",0.459
1952,Bharatpur Sawaimadhopur,347,GEN,Rajasthan,Manak Chand,Krishikar Lok Party,"7,48,347","6,87,306",0.459
1952,Bhilwara,358,GEN,Rajasthan,Hari Ram,Akhil Bharatiya Ram Rajya Parishad,"4,19,186","1,08,838",0.26
1952,Bhir,312,GEN,Hyderabad,Ramchander Govind Paranjppe,Peoples Democratic Front,"3,44,586","1,26,253",0.366
1952,Bhusawal,69,GEN,Bombay,Rane Shivram Rango,Indian National Congress,"3,81,993","2,19,720",0.575
1952,Bidar,309,GEN,Hyderabad,Shoukatulla Shah Ansari,Indian National Congress,"3,35,863","1,58,378",0.472
1952,Bijapur North,84,GEN,Bombay,Dube Rajaram Girdharlal,Indian National Congress,"3,70,216","1,79,215",0.484
1952,Bijapur South,85,GEN,Bombay,Bidari Ramappa Balappa,Indian National Congress,"3,42,857","2,19,578",0.64
1952,Bijnor District SOUTH,218,GEN,Uttar Pradesh and Uttarakhand,Nemi Saran,Indian National Congress,"3,81,477","1,90,669",0.5
1952,Bikaner Churu,350,GEN,Rajasthan,Maharaja Karni Singh,Independent,"3,97,481","1,87,557",0.472
1952,Bilaspur,93,GEN,Uttar Pradesh and Chhattisgarh,Reshamlal,Indian National Congress,"7,62,814","4,63,236",0.304
1952,Bilaspur,93,GEN,Uttar Pradesh and Chhattisgarh,Sardar Amarsingh Saigal,Indian National Congress,"7,62,814","4,63,236",0.304
1952,Bilaspur,385,GEN,Bilaspur,Anand Chand,Independent,"68,130",0,0
1952,Bilaspur Durg Raipur,94,GEN,Uttar Pradesh and Chhattisgarh,Agamdas,Indian National Congress,"7,59,650","5,29,972",0.349
1952,Bilaspur Durg Raipur,94,GEN,Uttar Pradesh and Chhattisgarh,Bhupendranath Mishra,Indian National Congress,"7,59,650","5,29,972",0.349
1952,Birbhum,280,GEN,West Bengal,Anil Kumar Chanda,Indian National Congress,"7,61,831","5,03,410",0.33
1952,Birbhum,280,GEN,West Bengal,Kamal Krishna Das,Indian National Congress,"7,61,831","5,03,410",0.33
1952,Bombay City North,90,GEN,Bombay,Gandhi Vithal Balkrishna,Indian National Congress,"7,30,126","7,15,888",0.49
1952,Bombay City North,90,GEN,Bombay,Kajrolkar Narayan Sadoba,Indian National Congress,"7,30,126","7,15,888",0.49
1952,Bombay City South,89,GEN,Bombay,Patil Sadashiv Kanoji,Indian National Congress,"3,70,548","1,94,136",0.524
1952,Bombay Suburban,91,GEN,Bombay,Raiji Jayashri Naishadh,Indian National Congress,"3,79,457","1,99,927",0.527
1952,Broach,64,GEN,Bombay,Bhatt Chandrashankar Manishankar,Indian National Congress,"3,80,694","2,08,885",0.549
1952,Budaun District WEST,232,GEN,Uttar Pradesh and Uttarakhand,Badan Sing,Indian National Congress,"3,54,848","1,31,103",0.37
1952,Bulandshahr District,224,GEN,Uttar Pradesh and Uttarakhand,Balmiki Kanhaiya Lal,Indian National Congress,"7,70,017","6,96,063",0.452
1952,Bulandshahr District,224,GEN,Uttar Pradesh and Uttarakhand,Raghubar Dayal,Indian National Congress,"7,70,017","6,96,063",0.452
1952,Buldana Akola,114,GEN,Uttar Pradesh and Chhattisgarh,Gopalrao Bajirao Khedkar,Indian National Congress,"7,83,957","8,62,425",0.55
1952,Buldana Akola,114,GEN,Uttar Pradesh and Chhattisgarh,Laxman Sharwan Bhatkar,Indian National Congress,"7,83,957","8,62,425",0.55
1952,Burdwan,292,GEN,West Bengal,Atulla Ghose,Indian National Congress,"7,22,434","5,12,219",0.355
1952,Burdwan,292,GEN,West Bengal,Mono Mohan Das,Indian National Congress,"7,22,434","5,12,219",0.355
1952,Cachar Lushal Hills,1,SC,Assam,Laskar Nibaran Chandra,Indian National Congress,"6,58,171","6,27,706",0.477
1952,Cachar Lushal Hills,1,SC,Assam,Deb Suresh Chandra,Indian National Congress,"6,58,171","6,27,706",0.477
1952,Calcutta North East,301,GEN,West Bengal,Hirendra Nath Mukherjee,Communist Party Of India,"3,75,515","1,43,132",0.381
1952,Calcutta North West,302,GEN,West Bengal,Meghnath Shah,Revolutionary Socialist Party,"3,82,636","1,39,731",0.365
1952,Calcutta South East,300,GEN,West Bengal,Syama Prosad Mookerjee,All India Bhartiya Jan Sangh,"3,81,486","1,44,614",0.379
1952,Calcutta South West,299,GEN,West Bengal,Ashim Krishna Dutt,Indian National Congress,"3,80,061","1,44,065",0.379
1952,Cannanore,172,GEN,Madras,A. K. Gopalan,Communist Party Of India,"3,64,218","2,52,481",0.693
1952,Chailbassa,54,ST,Uttar PradeBihar,Kanu Ram Deogam,Jharkhand Party,"3,76,306","1,78,206",0.474
1952,Chamba Sirmur,391,GEN,Himachal Pradesh,A. R. Sewal,Indian National Congress,"1,80,581","47,812",0.265
1952,Champaran East,26,GEN,Uttar PradeBihar,Syed Mahmood,Indian National Congress,"3,27,728","1,38,767",0.423
1952,Champaran North,25,GEN,Uttar PradeBihar,Bipin Bihari Verma,Indian National Congress,"3,41,318","1,04,179",0.305
1952,Chanda,110,GEN,Uttar Pradesh and Chhattisgarh,Mulla Abdullabhai Taherali,Indian National Congress,"3,68,225","2,30,336",0.626
1952,Chhatarpur Datia Tikamgarh,401,GEN,Vindhya Pradesh,Ram Sahai Tiwari,Indian National Congress,"5,87,455","3,47,010",0.295
1952,Chhatarpur Datia Tikamgarh,401,GEN,Vindhya Pradesh,Moti Lal Malvi,Indian National Congress,"5,87,455","3,47,010",0.295
1952,Chhindwara,105,GEN,Uttar Pradesh and Chhattisgarh,Raichand Bhai Shah,Indian National Congress,"3,81,555","1,31,682",0.345
1952,Chingleput,141,GEN,Madras,O. V. Alagesan,Indian National Congress,"3,34,352","1,50,835",0.451
1952,Chirayinkil,372,GEN,Travancore Cochin,V. Parameswaran Nair,Independent,"3,51,642","2,33,287",0.663
1952,Chitaldrug,341,GEN,Mysore,S Nijalingappa,Indian National Congress,"3,61,943","2,18,227",0.603
1952,Chittoor,137,GEN,Madras,T. N. Vishwanatha Reddi,Indian National Congress,"7,17,443","7,88,694",0.55
1952,Chittoor,137,GEN,Madras,M. V. Gangadara Siva,Indian National Congress,"7,17,443","7,88,694",0.55
1952,Chittor,361,GEN,Rajasthan,Umashanker,All India Bhartiya Jan Sangh,"4,05,205","1,12,548",0.278
1952,Coimbatore,152,GEN,Madras,T. A. Ramalinga Chettiar,Indian National Congress,"3,46,405",0,0
1952,Contai,287,GEN,West Bengal,Dass Basanta Kumar,Indian National Congress,"3,75,591","2,10,471",0.56
1952,Coorg,386,GEN,Coorg,N. Somanna,Indian National Congress,"94,593","63,813",0.675
1952,Crangannur,379,GEN,Travancore Cochin,K. T. Achyuthan,Indian National Congress,"3,48,264","2,39,313",0.687
1952,Cuddalore,159,GEN,Madras,L. Elayaperumal,Indian National Congress,"7,45,514","7,39,971",0.496
1952,Cuddalore,159,GEN,Madras,Govindaswamy Kachirayar,The Tamil Nad Toilers Party,"7,45,514","7,39,971",0.496
1952,Cuddapah,136,GEN,Madras,Eswara Reddi Yeddula,Communist Party Of India,"3,68,066","2,39,982",0.652
1952,Cuttack,188,GEN,Orissa,Harekrishna Mahtab,Indian National Congress,"3,99,482","1,64,145",0.411
1952,Darbhanga Central,33,GEN,Uttar PradeBihar,Shri Narayan Das,Indian National Congress,"3,94,744","1,36,243",0.345
1952,Darbhanga Cum Bhagalpur,36,GEN,Uttar PradeBihar,Lalit Narayan Misra,Indian National Congress,"3,31,476","1,46,291",0.441
1952,Darbhanga East,34,GEN,Uttar PradeBihar,Aniruydh Sinha,Indian National Congress,"3,72,053","1,32,722",0.357
1952,Darbhanga North,35,GEN,Uttar PradeBihar,Shyam Nandan Prasad,Indian National Congress,"3,76,316","1,67,758",0.446
1952,Darrang,6,GEN,Assam,Kamakhya Prasad Tripathi,Indian National Congress,"3,10,934","1,62,120",0.521
1952,Delhi City,389,GEN,Delhi,Radha Raman,Indian National Congress,"1,74,522","1,01,590",0.582
1952,Deoria District EAST,271,GEN,Uttar Pradesh and Uttarakhand,Ram Ji,Socialist Party,"3,60,505","1,27,752",0.354
1952,Deoria District SOUTH,269,GEN,Uttar Pradesh and Uttarakhand,Sarayu,Indian National Congress,"3,56,039","1,19,616",0.336
1952,Deoria District WEST,270,GEN,Uttar Pradesh and Uttarakhand,Bishwa Nath,Indian National Congress,"3,69,077","1,14,804",0.311
1952,Dharamapuri,146,GEN,Madras,N. Satyanathan,Independent,"3,60,076","1,85,545",0.515
1952,Dharwar North,86,GEN,Bombay,Karmaka Dattatraya Parsuramrao,Indian National Congress,"3,65,182","2,16,283",0.592
1952,Dharwar South,87,GEN,Bombay,Neswi Timmappa Rudrappa,Indian National Congress,"3,71,753","2,39,315",0.644
1952,Dhenkanal West Cuttack,183,GEN,Orissa,Niranjan Jena,Indian National Congress,"7,54,809","4,95,558",0.328
1952,Dhenkanal West Cuttack,183,GEN,Orissa,Sarangadhar Das,Socialist Party,"7,54,809","4,95,558",0.328
1952,Diamond Harbour,298,GEN,West Bengal,Basu Kamal,Communist Party Of India,"7,30,094","6,80,143",0.466
1952,Diamond Harbour,298,GEN,West Bengal,Naskar Purnendu Sekhar,Indian National Congress,"7,30,094","6,80,143",0.466
1952,Dibrugarh,10,GEN,Assam,"Hazarika, Jogendra Nath",Indian National Congress,"3,47,258","1,48,712",0.428
1952,Dindigul,169,GEN,Madras,Ammu Swaminathan,Indian National Congress,"3,47,422","2,09,488",0.603
1952,Durg,96,GEN,Uttar Pradesh and Chhattisgarh,W. S. Kirolikar,Indian National Congress,"3,98,341","1,91,348",0.48
1952,Durg Bastar,97,GEN,Uttar Pradesh and Chhattisgarh,Bhagwati Charan Shukla,Indian National Congress,"3,94,803","2,14,924",0.544
1952,Eluru,122,GEN,Madras,K. Subha Rao,Communist Party Of India,"6,94,382","10,00,456",0.72
1952,Eluru,122,GEN,Madras,B. S. Murthy,Kisan Mazdoor Praja Party,"6,94,382","10,00,456",0.72
1952,Ernakulam,378,GEN,Travancore Cochin,A. M. Thomas,Indian National Congress,"3,55,060","2,47,832",0.698
1952,Erode,148,GEN,Madras,Balakrishnan,Indian National Congress,"7,43,081","7,82,686",0.527
1952,Erode,148,GEN,Madras,Periasami Gounder,Indian National Congress,"7,43,081","7,82,686",0.527
1952,Etah Disctict North East Cum Budaun Distt EAST,231,GEN,Uttar Pradesh and Uttarakhand,Raghubir Sahai,Indian National Congress,"3,52,544","1,53,239",0.435
1952,Etah District CENTRAL,230,GEN,Uttar Pradesh and Uttarakhand,Rohan Lal Chaturvedi,Indian National Congress,"3,65,009","1,68,730",0.462
1952,Etah Distt WEST CUM MAINPURI DISTT WEST CUM MATHURA DISTRICT EAST,229,GEN,Uttar Pradesh and Uttarakhand,Digamber Si,Indian National Congress,"3,61,599","1,85,634",0.513
1952,Faizabad Distt NORTH WEST,252,GEN,Uttar Pradesh and Uttarakhand,Panna Lal,Indian National Congress,"7,18,760","5,26,515",0.366
1952,Faizabad Distt NORTH WEST,252,GEN,Uttar Pradesh and Uttarakhand,Lallan Ji,Indian National Congress,"7,18,760","5,26,515",0.366
1952,Farrukhabad District NORTH,233,GEN,Uttar Pradesh and Uttarakhand,Mool Chand Dube,Indian National Congress,"4,07,275","1,67,836",0.412
1952,Fazilka Sirsa,199,GEN,Punjab,Atma Singh,Indian National Congress,"3,60,933","2,14,413",0.594
1952,Ferozepore Ludhiana,200,GEN,Punjab,Lal Singh,Shiromani Akali Dal,"7,64,171","8,11,732",0.531
1952,Ferozepore Ludhiana,200,GEN,Punjab,Bahadur Singh,Shiromani Akali Dal,"7,64,171","8,11,732",0.531
1952,Ganganagar Jhunjhunu,349,GEN,Rajasthan,Panna Lal,Indian National Congress,"7,58,860","6,62,222",0.436
1952,Ganganagar Jhunjhunu,349,GEN,Rajasthan,Murarka Radhey Shyam,Indian National Congress,"7,58,860","6,62,222",0.436
1952,Ganjam South,192,GEN,Orissa,Bijoy Chandra Das,Communist Party Of India,"3,90,236","1,09,695",0.281
1952,Garhwal Distt EAST CUM MORADABAD DISTT NORTH EAST,210,GEN,Uttar Pradesh and Uttarakhand,Bhaktadarsh,Indian National Congress,"3,47,009","96,529",0.278
1952,Garhwal Distt WEST CUM TEHRI GARHWAL DISTT CUM BIJNOR DISTT NORTH,209,GEN,Uttar Pradesh and Uttarakhand,Maharani Sahiba Kamlendumati Shah,Independent,"3,73,418","1,35,092",0.362
1952,Gauhati,5,ST,Assam,Rohini Kumar Chaudhury,Indian National Congress,"3,60,331","2,02,596",0.562
1952,Gaya East,15,GEN,Uttar PradeBihar,Brajeshwar Prasad,Indian National Congress,"5,72,471","4,15,816",0.363
1952,Gaya East,15,GEN,Uttar PradeBihar,Ramdhari Das,Indian National Congress,"5,72,471","4,15,816",0.363
1952,Gaya North,16,GEN,Uttar PradeBihar,Bigeshwar Missir,Socialist Party,"2,88,509","1,27,767",0.443
1952,Gaya West,17,GEN,Uttar PradeBihar,Satyandra Narain Singh,Indian National Congress,"3,36,977","1,41,212",0.419
1952,Ghatal,285,GEN,West Bengal,Chowdhury Nikunja Behari,Communist Party Of India,"3,61,187","1,80,379",0.499
1952,Ghazipur District WEST,274,GEN,Uttar Pradesh and Uttarakhand,Har Prasad,Indian National Congress,"3,92,667","1,69,758",0.432
1952,Ghazipur Distt EAST CUM BALLIA DISTRICT SOUTH WEST,275,GEN,Uttar Pradesh and Uttarakhand,Ram Nagina,Socialist Party,"3,60,946","1,17,115",0.325
1952,Ghumsur,191,GEN,Orissa,Umacharan Patnaik,Independent,"3,86,460","1,45,186",0.376
1952,Goalpara Garo Hills,3,ST,Assam,Jonab Amjad Ali,Socialist Party,"7,19,456","7,04,435",0.49
1952,Goalpara Garo Hills,3,ST,Assam,Sitanath Brahma Chowdhury,Indian National Congress,"7,19,456","7,04,435",0.49
1952,Gohilwad,367,GEN,Saurashtra,Mehta Balwantrai Gopalji,Indian National Congress,"3,10,380","1,24,240",0.4
1952,Gohilwad Sorath,368,GEN,Saurashtra,Shah Chimanlal Chakubhai,Indian National Congress,"2,88,399","1,63,639",0.567
1952,Golaghat Jorhat,8,GEN,Assam,Debeswar Sarma,Indian National Congress,"3,63,384","1,72,180",0.474
1952,Gonda District EAST CUM BASTI DISTRICT WEST,263,GEN,Uttar Pradesh and Uttarakhand,Kesho Deo Malviya,Indian National Congress,"3,37,344","1,17,305",0.348
1952,Gonda District NORTH,261,GEN,Uttar Pradesh and Uttarakhand,Chowdhari Hyder Husain,Indian National Congress,"3,64,459","1,64,274",0.451
1952,Gonda District WEST,262,GEN,Uttar Pradesh and Uttarakhand,Nayar Shakuntala,Akhil Bharatiya Hindu Mahasabha,"3,80,009","1,31,240",0.345
1952,Gorakhpur District CENTRAL,267,GEN,Uttar Pradesh and Uttarakhand,Dasrath Pd. Divedi,Indian National Congress,"3,88,724","1,44,643",0.372
1952,Gorakhpur District NORTH,266,GEN,Uttar Pradesh and Uttarakhand,Hari Shanker Prasad,Indian National Congress,"3,69,306","1,20,382",0.326
1952,Gorakhpur District SOUTH,268,GEN,Uttar Pradesh and Uttarakhand,Sinhasan Singh,Indian National Congress,"3,42,796","1,04,695",0.305
1952,Gudivada,124,GEN,Madras,K. Gopala Rao,Communist Party Of India,"3,55,301","2,76,723",0.779
1952,Gulabarga,307,GEN,Hyderabad,Swamy Ramanand Tirth,Indian National Congress,"3,64,590","1,06,140",0.291
1952,Guna,330,GEN,Madhya Bharat,V. G. Deshpande,Akhil Bharatiya Hindu Mahasabha,"3,78,353","1,38,858",0.367
1952,Guntur,127,GEN,Madras,S. V. Laxmi Narasimham,Independent,"3,64,698","2,54,499",0.698
1952,Gurdaspur,205,GEN,Punjab,Teja Singh,Indian National Congress,"3,53,804","1,82,413",0.516
1952,Gurgaon,197,GEN,Punjab,Thakar Das,Indian National Congress,"3,81,963","2,51,946",0.66
1952,Gwalior,331,GEN,Madhya Bharat,V. G. Deshpande,Akhil Bharatiya Hindu Mahasabha,"3,79,320","1,44,412",0.381
1952,Halar,364,GEN,Saurashtra,Major Gen. M. S. Himatsinhji,Indian National Congress,"2,95,369",0,0
1952,Hamirpur District,240,GEN,Uttar Pradesh and Uttarakhand,Mannu Lal Duvedi,Indian National Congress,"3,36,458","1,28,684",0.383
1952,Hardoi Distt NORTH WEST CUM FARRUKHABAD DISTT EAST CUM SHAHJANPUR DISTT SOUTH,243,GEN,Uttar Pradesh and Uttarakhand,Bashir,Indian National Congress,"7,54,683","5,32,687",0.353
1952,Hardoi Distt NORTH WEST CUM FARRUKHABAD DISTT EAST CUM SHAHJANPUR DISTT SOUTH,243,GEN,Uttar Pradesh and Uttarakhand,Bulaqi,Indian National Congress,"7,54,683","5,32,687",0.353
1952,Hassan Chickmagalur,339,GEN,Mysore,H. Siddananjappa,Indian National Congress,"3,54,206","1,71,850",0.485
1952,Hazaribagh West,48,GEN,Uttar PradeBihar,Ram Narayan Singh,Chota Nagpur Santhal Parganas Janta Party,"3,32,278","1,18,881",0.358
1952,Hazaribhag East,47,GEN,Uttar PradeBihar,Nageshwar Pd. Sinha,Indian National Congress,"3,35,212","1,29,617",0.387
1952,Hissar,198,GEN,Punjab,Achint Ram,Indian National Congress,"3,70,693","1,88,389",0.508
1952,Hooghly,291,GEN,West Bengal,N. C. Chatterjee,Akhil Bharatiya Hindu Mahasabha,"3,85,944","1,98,385",0.514
1952,Hoshangabad,104,GEN,Uttar Pradesh and Chhattisgarh,Syed Ahmad,Indian National Congress,"3,64,350","1,64,838",0.452
1952,Hoshiarpur,203,GEN,Punjab,Diwan Chand,Indian National Congress,"7,75,828","7,99,356",0.515
1952,Hoshiarpur,203,GEN,Punjab,Ram Das,Indian National Congress,"7,75,828","7,99,356",0.515
1952,Howrah,289,GEN,West Bengal,Santosh Kumar Dutta,Indian National Congress,"3,78,918","1,78,071",0.47
1952,Hyderabad City,303,GEN,Hyderabad,Ahmed Mohiuddin,Indian National Congress,"3,43,535","1,47,657",0.43
1952,Ibrahimpatam,304,GEN,Hyderabad,Sadat Ali Khan,Indian National Congress,"3,45,396","1,44,579",0.419
1952,Indore,326,GEN,Madhya Bharat,Nandlal Surya Narayan,Indian National Congress,"3,87,379","1,78,654",0.461
1952,Inner Manipur,394,GEN,Manipur,Jogeswor Singh,Indian National Congress,"1,49,617","74,906",0.501
